week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,receiving_rec,rushing_yds,receiving_yds,receiving_tds,rushing_tds,receiving_twoptm,rushing_twoptm,passing_yds,passing_twoptm,passing_ints,passing_tds,fumbles_lost
2.0,CIN,DEFENSE,CIN-DEFENSE,0.0,0.0,0.0,13.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,
2.0,HOU,DEFENSE,HOU-DEFENSE,1.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,
2.0,BAL,DEFENSE,BAL-DEFENSE,1.0,0.0,0.0,10.0,0.0,0.0,4.0,3.0,0.0,,,,,,,,,,,,,,,
2.0,CLE,DEFENSE,CLE-DEFENSE,1.0,0.0,0.0,24.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,,,,,,,,
2.0,CAR,DEFENSE,CAR-DEFENSE,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,
2.0,BUF,DEFENSE,BUF-DEFENSE,0.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,,,,,,,,,,,,,,,
2.0,IND,DEFENSE,IND-DEFENSE,0.0,0.0,0.0,16.0,0.0,0.0,1.0,4.0,0.0,,,,,,,,,,,,,,,
2.0,ARI,DEFENSE,ARI-DEFENSE,0.0,0.0,0.0,13.0,0.0,0.0,1.0,4.0,0.0,,,,,,,,,,,,,,,
2.0,JAX,DEFENSE,JAX-DEFENSE,0.0,0.0,0.0,37.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
2.0,TEN,DEFENSE,TEN-DEFENSE,1.0,0.0,0.0,16.0,0.0,0.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
2.0,KC,DEFENSE,KC-DEFENSE,1.0,0.0,0.0,20.0,0.0,0.0,1.0,6.0,0.0,,,,,,,,,,,,,,,
2.0,PHI,DEFENSE,PHI-DEFENSE,0.0,0.0,0.0,27.0,0.0,0.0,0.0,3.5,0.0,,,,,,,,,,,,,,,
2.0,NO,DEFENSE,NO-DEFENSE,0.0,0.0,0.0,36.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,
2.0,NE,DEFENSE,NE-DEFENSE,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
2.0,PIT,DEFENSE,PIT-DEFENSE,1.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,
2.0,MIN,DEFENSE,MIN-DEFENSE,0.0,0.0,0.0,26.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,
2.0,TB,DEFENSE,TB-DEFENSE,2.0,0.0,0.0,7.0,0.0,1.0,2.0,1.0,0.0,,,,,,,,,,,,,,,
2.0,CHI,DEFENSE,CHI-DEFENSE,1.0,0.0,0.0,29.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,
2.0,LAC,DEFENSE,LAC-DEFENSE,0.0,0.0,0.0,19.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,
2.0,MIA,DEFENSE,MIA-DEFENSE,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
2.0,OAK,DEFENSE,OAK-DEFENSE,2.0,0.0,0.0,20.0,0.0,0.0,0.0,3.5,0.0,,,,,,,,,,,,,,,
2.0,NYJ,DEFENSE,NYJ-DEFENSE,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2.0,DEN,DEFENSE,DEN-DEFENSE,0.0,0.0,0.0,17.0,0.0,1.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
2.0,DAL,DEFENSE,DAL-DEFENSE,1.0,0.0,0.0,42.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,,,,,,,,
2.0,LA,DEFENSE,LA-DEFENSE,0.0,0.0,0.0,27.0,0.0,0.0,0.0,1.5,0.0,,,,,,,,,,,,,,,
2.0,WAS,DEFENSE,WAS-DEFENSE,1.0,0.0,0.0,20.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,,,,,,,,
2.0,SEA,DEFENSE,SEA-DEFENSE,0.0,0.0,0.0,9.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,,,,,,,,
2.0,SF,DEFENSE,SF-DEFENSE,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,
2.0,ATL,DEFENSE,ATL-DEFENSE,1.0,0.0,0.0,23.0,0.0,1.0,1.0,3.0,0.0,,,,,,,,,,,,,,,
2.0,GB,DEFENSE,GB-DEFENSE,0.0,0.0,0.0,34.0,0.0,0.0,0.0,2.5,0.0,,,,,,,,,,,,,,,
2.0,NYG,DEFENSE,NYG-DEFENSE,1.0,0.0,0.0,24.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,
2.0,DET,DEFENSE,DET-DEFENSE,0.0,0.0,1.0,10.0,0.0,0.0,1.0,5.0,0.0,,,,,,,,,,,,,,,
2.0,CIN,K,R.Bullock,,,,,,,,,,0.0,98.0,0.0,,,,,,,,,,,,
2.0,HOU,RB,L.Miller,,,,,,,,,,0.0,,,3.0,61.0,26.0,0.0,0.0,0.0,0.0,,,,,
2.0,CIN,OLB,V.Rey,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,HOU,WR,D.Hopkins,,,,,,,,,,0.0,,,7.0,,73.0,0.0,,0.0,,,,,,
2.0,HOU,QB,D.Watson,,,,,,,,,,0.0,,,,67.0,,,1.0,,0.0,125.0,0.0,0.0,0.0,
2.0,HOU,WR,B.Miller,,,,,,,,,,0.0,,,2.0,,10.0,0.0,,0.0,,,,,,
2.0,HOU,P,S.Lechler,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,CB,A.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,HOU,DEF,D.Cole,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,HOU,DE,J.Watt,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,RB,J.Hill,,,,,,,,,,0.0,,,1.0,17.0,2.0,0.0,0.0,0.0,0.0,,,,,
2.0,CIN,C,T.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,HOU,CB,K.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,QB,A.Dalton,,,,,,,,,,0.0,,,,5.0,0.0,,0.0,,0.0,224.0,0.0,0.0,0.0,
2.0,CIN,WR,A.Green,,,,,,,,,,0.0,,,5.0,,67.0,0.0,,0.0,,,,,,
2.0,CIN,RB,G.Bernard,,,,,,,,,,0.0,,,2.0,10.0,16.0,0.0,0.0,0.0,0.0,,,,,
2.0,HOU,NT,D.Reader,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,HOU,CB,K.Jackson,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,CB,J.Shaw,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,P,K.Huber,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,ILB,N.Vigil,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,SS,S.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,CB,D.Kirkpatrick,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,DE,C.Smith,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,DT,G.Atkins,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,HOU,LS,J.Weeks,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,HOU,FS,K.Drummond,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,HOU,OLB,J.Clowney,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2.0,HOU,DB,C.Moore,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,RB,J.Mixon,,,,,,,,,,0.0,,,1.0,36.0,5.0,0.0,0.0,0.0,0.0,,,,,
2.0,HOU,DEF,Z.Cunningham,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,HOU,RB,T.Ervin,,,,,,,,,,0.0,,,3.0,,16.0,0.0,,0.0,,,,,,
2.0,HOU,RB,D.Foreman,,,,,,,,,,0.0,,,,40.0,,,0.0,,0.0,,,,,
2.0,CIN,DT,P.Sims,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,DEF,R.Glasgow,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CIN,CB,D.Dennard,,,,,,,,,,0.0,,,,,,,,,,,,,,
