week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,receiving_rec,rushing_yds,receiving_yds,receiving_tds,rushing_tds,receiving_twoptm,rushing_twoptm,kicking_xpmade,fumbles_lost,passing_yds,passing_tds,passing_twoptm,passing_ints,kicking_fgm_yds,defense_fgblk,defense_safe
5.0,TB,DEFENSE,TB-DEFENSE,1.0,0.0,0.0,19.0,0.0,0.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,
5.0,NE,DEFENSE,NE-DEFENSE,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.5,0.0,,,,,,,,,,,,,,,,,
5.0,CIN,DEFENSE,CIN-DEFENSE,0.0,0.0,0.0,16.0,0.0,0.0,1.0,6.0,0.0,,,,,,,,,,,,,,,,,
5.0,BUF,DEFENSE,BUF-DEFENSE,1.0,0.0,0.0,20.0,0.0,0.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,
5.0,CLE,DEFENSE,CLE-DEFENSE,0.0,0.0,0.0,17.0,0.0,0.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,
5.0,NYJ,DEFENSE,NYJ-DEFENSE,1.0,0.0,0.0,14.0,0.0,0.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,
5.0,DET,DEFENSE,DET-DEFENSE,0.0,0.0,0.0,27.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,
5.0,CAR,DEFENSE,CAR-DEFENSE,1.0,0.0,0.0,24.0,0.0,0.0,0.0,6.0,0.0,,,,,,,,,,,,,,,,,
5.0,IND,DEFENSE,IND-DEFENSE,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.5,0.0,,,,,,,,,,,,,,,,,
5.0,SF,DEFENSE,SF-DEFENSE,0.0,0.0,0.0,26.0,0.0,0.0,1.0,2.5,0.0,,,,,,,,,,,,,,,,,
5.0,MIA,DEFENSE,MIA-DEFENSE,2.0,0.0,0.0,10.0,0.0,1.0,0.0,5.5,0.0,,,,,,,,,,,,,,,,,
5.0,TEN,DEFENSE,TEN-DEFENSE,1.0,0.0,0.0,16.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,
5.0,NYG,DEFENSE,NYG-DEFENSE,0.0,1.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,
5.0,LAC,DEFENSE,LAC-DEFENSE,1.0,0.0,0.0,22.0,0.0,0.0,1.0,5.0,0.0,,,,,,,,,,,,,,,,,
5.0,PHI,DEFENSE,PHI-DEFENSE,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,
5.0,ARI,DEFENSE,ARI-DEFENSE,0.0,0.0,0.0,34.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,
