week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,rushing_yds,rushing_twoptm,rushing_tds,fumbles_lost,receiving_yds,receiving_rec,receiving_tds,receiving_twoptm,passing_yds,passing_tds,passing_twoptm,passing_ints,defense_puntblk,defense_fgblk
6.0,CAR,DEFENSE,CAR-DEFENSE,1.0,0.0,0.0,28.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,
6.0,PHI,DEFENSE,PHI-DEFENSE,0.0,0.0,0.0,23.0,0.0,0.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,
6.0,ATL,DEFENSE,ATL-DEFENSE,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,
6.0,MIA,DEFENSE,MIA-DEFENSE,0.0,0.0,0.0,17.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,
6.0,BAL,DEFENSE,BAL-DEFENSE,2.0,0.0,1.0,27.0,1.0,0.0,0.0,3.5,0.0,,,,,,,,,,,,,,,,,
6.0,CHI,DEFENSE,CHI-DEFENSE,1.0,0.0,0.0,24.0,0.0,1.0,2.0,3.0,0.0,,,,,,,,,,,,,,,,,
6.0,HOU,DEFENSE,HOU-DEFENSE,0.0,1.0,0.0,17.0,0.0,1.0,3.0,4.0,0.0,,,,,,,,,,,,,,,,,
6.0,CLE,DEFENSE,CLE-DEFENSE,0.0,0.0,0.0,33.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,
6.0,MIN,DEFENSE,MIN-DEFENSE,0.0,0.0,0.0,10.0,0.0,0.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,
6.0,GB,DEFENSE,GB-DEFENSE,1.0,0.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,
6.0,NO,DEFENSE,NO-DEFENSE,2.0,0.0,0.0,38.0,0.0,3.0,3.0,5.0,0.0,,,,,,,,,,,,,,,,,
6.0,DET,DEFENSE,DET-DEFENSE,1.0,0.0,1.0,52.0,0.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,
6.0,NYJ,DEFENSE,NYJ-DEFENSE,1.0,0.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,
6.0,NE,DEFENSE,NE-DEFENSE,0.0,0.0,0.0,17.0,0.0,0.0,2.0,4.0,0.0,,,,,,,,,,,,,,,,,
6.0,WAS,DEFENSE,WAS-DEFENSE,0.0,0.0,0.0,24.0,0.0,0.0,1.0,2.5,0.0,,,,,,,,,,,,,,,,,
6.0,SF,DEFENSE,SF-DEFENSE,1.0,0.0,0.0,26.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,
6.0,ARI,DEFENSE,ARI-DEFENSE,0.0,0.0,0.0,33.0,0.0,0.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,
6.0,TB,DEFENSE,TB-DEFENSE,1.0,0.0,0.0,38.0,0.0,1.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,
6.0,JAX,DEFENSE,JAX-DEFENSE,1.0,0.0,0.0,27.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,
6.0,LA,DEFENSE,LA-DEFENSE,0.0,0.0,0.0,17.0,1.0,1.0,1.0,5.0,0.0,,,,,,,,,,,,,,,,,
6.0,KC,DEFENSE,KC-DEFENSE,0.0,0.0,0.0,19.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,
6.0,PIT,DEFENSE,PIT-DEFENSE,0.0,2.0,0.0,13.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,
6.0,OAK,DEFENSE,OAK-DEFENSE,1.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,
6.0,LAC,DEFENSE,LAC-DEFENSE,0.0,0.0,0.0,16.0,0.0,0.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,
6.0,DEN,DEFENSE,DEN-DEFENSE,0.0,0.0,0.0,23.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,
6.0,NYG,DEFENSE,NYG-DEFENSE,1.0,0.0,0.0,10.0,0.0,1.0,2.0,4.0,0.0,,,,,,,,,,,,,,,,,
6.0,TEN,DEFENSE,TEN-DEFENSE,1.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
6.0,IND,DEFENSE,IND-DEFENSE,0.0,0.0,0.0,36.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,
6.0,CAR,K,G.Gano,,,,,,,,,,0.0,105.0,2.0,,,,,,,,,,,,,,
6.0,CAR,DE,M.Addison,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,RB,L.Blount,,,,,,,,,,0.0,,,67.0,1.0,0.0,,,,,,,,,,,
6.0,CAR,DT,K.Short,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,
6.0,PHI,WR,T.Smith,,,,,,,,,,0.0,,,,,,,6.0,1.0,0.0,0.0,,,,,,
6.0,CAR,CB,D.Worley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,QB,C.Wentz,,,,,,,,,,0.0,,,25.0,0.0,0.0,1.0,,,,,222.0,3.0,0.0,0.0,,
6.0,CAR,OLB,S.Thompson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,WR,N.Agholor,,,,,,,,,,0.0,,,,,,,55.0,4.0,1.0,0.0,,,,,,
6.0,PHI,OT,H.Vaitai,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CAR,OLB,J.Peppers,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CAR,RB,J.Stewart,,,,,,,,,,0.0,,,-4.0,0.0,0.0,,,,,,,,,,,
