week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,passing_yds,passing_twoptm,passing_ints,passing_tds,receiving_rec,receiving_yds,receiving_tds,receiving_twoptm,rushing_yds,rushing_tds,rushing_twoptm,fumbles_lost,defense_fgblk,fumbles_rec_tds,defense_xpblk,defense_puntblk,defense_safe
8.0,BAL,DEFENSE,BAL-DEFENSE,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.5,0.0,,,,,,,,,,,,,,,,,,,,
8.0,MIA,DEFENSE,MIA-DEFENSE,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
8.0,CLE,DEFENSE,CLE-DEFENSE,0.0,0.0,0.0,33.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
8.0,MIN,DEFENSE,MIN-DEFENSE,2.0,0.0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,
8.0,BUF,DEFENSE,BUF-DEFENSE,2.0,0.0,0.0,14.0,0.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
8.0,OAK,DEFENSE,OAK-DEFENSE,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
8.0,CIN,DEFENSE,CIN-DEFENSE,0.0,0.0,0.0,23.0,0.0,1.0,1.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,
8.0,IND,DEFENSE,IND-DEFENSE,2.0,0.0,0.0,24.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,
8.0,NE,DEFENSE,NE-DEFENSE,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
8.0,LAC,DEFENSE,LAC-DEFENSE,0.0,1.0,0.0,21.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,
8.0,NO,DEFENSE,NO-DEFENSE,0.0,0.0,0.0,12.0,0.0,0.0,1.0,1.5,0.0,,,,,,,,,,,,,,,,,,,,
8.0,CHI,DEFENSE,CHI-DEFENSE,2.0,0.0,0.0,20.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,
8.0,NYJ,DEFENSE,NYJ-DEFENSE,2.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
8.0,ATL,DEFENSE,ATL-DEFENSE,1.0,0.0,0.0,20.0,0.0,0.0,0.0,2.5,0.0,,,,,,,,,,,,,,,,,,,,
8.0,PHI,DEFENSE,PHI-DEFENSE,0.0,0.0,0.0,10.0,0.0,1.0,2.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,
8.0,SF,DEFENSE,SF-DEFENSE,0.0,0.0,0.0,33.0,0.0,0.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,
8.0,TB,DEFENSE,TB-DEFENSE,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
