week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_xpmade,rushing_tds,receiving_rec,rushing_yds,receiving_yds,receiving_tds,receiving_twoptm,rushing_twoptm,fumbles_lost,passing_yds,passing_tds,passing_twoptm,passing_ints,kicking_fgm_yds,defense_puntblk,defense_safe,defense_fgblk
9.0,NYJ,DEFENSE,NYJ-DEFENSE,3.0,0.0,0.0,21.0,0.0,0.0,0.0,6.5,0.0,,,,,,,,,,,,,,,,,,
9.0,BUF,DEFENSE,BUF-DEFENSE,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
9.0,CAR,DEFENSE,CAR-DEFENSE,0.0,0.0,0.0,17.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,
9.0,ATL,DEFENSE,ATL-DEFENSE,2.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
9.0,HOU,DEFENSE,HOU-DEFENSE,1.0,0.0,0.0,20.0,0.0,1.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,
9.0,IND,DEFENSE,IND-DEFENSE,1.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,
9.0,JAX,DEFENSE,JAX-DEFENSE,0.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,
9.0,CIN,DEFENSE,CIN-DEFENSE,1.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
9.0,NO,DEFENSE,NO-DEFENSE,1.0,0.0,0.0,10.0,0.0,1.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,
9.0,TB,DEFENSE,TB-DEFENSE,2.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
9.0,NYG,DEFENSE,NYG-DEFENSE,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
9.0,LA,DEFENSE,LA-DEFENSE,2.0,0.0,0.0,17.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,
9.0,PHI,DEFENSE,PHI-DEFENSE,0.0,0.0,0.0,23.0,0.0,0.0,2.0,3.0,0.0,,,,,,,,,,,,,,,,,,
9.0,DEN,DEFENSE,DEN-DEFENSE,1.0,0.0,0.0,51.0,0.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,
9.0,TEN,DEFENSE,TEN-DEFENSE,0.0,0.0,0.0,20.0,0.0,0.0,2.0,1.5,0.0,,,,,,,,,,,,,,,,,,
9.0,BAL,DEFENSE,BAL-DEFENSE,0.0,0.0,0.0,23.0,0.0,0.0,1.0,2.5,0.0,,,,,,,,,,,,,,,,,,
9.0,SF,DEFENSE,SF-DEFENSE,1.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
9.0,ARI,DEFENSE,ARI-DEFENSE,1.0,0.0,0.0,10.0,0.0,0.0,1.0,4.5,0.0,,,,,,,,,,,,,,,,,,
9.0,SEA,DEFENSE,SEA-DEFENSE,1.0,1.0,0.0,17.0,0.0,0.0,0.0,5.5,0.0,,,,,,,,,,,,,,,,,,
9.0,WAS,DEFENSE,WAS-DEFENSE,0.0,0.0,0.0,14.0,0.0,0.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,
9.0,DAL,DEFENSE,DAL-DEFENSE,0.0,0.0,0.0,17.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,
9.0,KC,DEFENSE,KC-DEFENSE,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
9.0,MIA,DEFENSE,MIA-DEFENSE,1.0,0.0,0.0,27.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,
9.0,OAK,DEFENSE,OAK-DEFENSE,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.5,0.0,,,,,,,,,,,,,,,,,,
9.0,GB,DEFENSE,GB-DEFENSE,1.0,0.0,0.0,30.0,0.0,0.0,0.0,0.5,0.0,,,,,,,,,,,,,,,,,,
9.0,DET,DEFENSE,DET-DEFENSE,0.0,0.0,0.0,17.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,
9.0,NYJ,WR,A.Stewart,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,SS,S.Thomas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,K,S.Hauschka,,,,,,,,,,0.0,3.0,,,,,,,,,,,,,,,,
9.0,NYJ,RB,M.Forte,,,,,,,,,,0.0,,2.0,4.0,77.0,19.0,0.0,0.0,0.0,,,,,,,,,
9.0,BUF,MLB,P.Brown,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,DE,S.Lawson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,NYJ,RB,E.McGuire,,,,,,,,,,0.0,,0.0,1.0,30.0,9.0,0.0,0.0,0.0,,,,,,,,,
9.0,BUF,DT,K.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,NYJ,RB,B.Powell,,,,,,,,,,0.0,,0.0,,74.0,,,,0.0,,,,,,,,,
9.0,NYJ,P,L.Edwards,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,RB,T.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,SS,M.Hyde,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,NYJ,OLB,J.Jenkins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,QB,T.Taylor,,,,,,,,,,0.0,,1.0,,35.0,,,,0.0,1.0,285.0,2.0,0.0,0.0,,,,
9.0,BUF,WR,D.Thompson,,,,,,,,,,0.0,,,7.0,,81.0,1.0,0.0,,,,,,,,,,
9.0,NYJ,DEF,Ja.Adams,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,
9.0,BUF,RB,L.McCoy,,,,,,,,,,0.0,,0.0,,25.0,,,,0.0,0.0,,,,,,,,
9.0,NYJ,WR,J.Kerley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,P,C.Schmidt,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,DT,A.Washington,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
