week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,passing_yds,rushing_yds,passing_tds,passing_twoptm,rushing_tds,fumbles_lost,passing_ints,rushing_twoptm,receiving_yds,receiving_rec,receiving_tds,receiving_twoptm,defense_safe,defense_xpblk,defense_puntblk
10.0,ARI,DEFENSE,ARI-DEFENSE,0.0,0.0,0.0,22.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,
10.0,SEA,DEFENSE,SEA-DEFENSE,1.0,1.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,
10.0,BUF,DEFENSE,BUF-DEFENSE,1.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
10.0,NO,DEFENSE,NO-DEFENSE,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,
10.0,CHI,DEFENSE,CHI-DEFENSE,0.0,0.0,0.0,23.0,0.0,0.0,0.0,2.5,0.0,,,,,,,,,,,,,,,,,,
10.0,GB,DEFENSE,GB-DEFENSE,0.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,
10.0,DET,DEFENSE,DET-DEFENSE,1.0,0.0,0.0,24.0,0.0,1.0,1.0,4.0,0.0,,,,,,,,,,,,,,,,,,
10.0,CLE,DEFENSE,CLE-DEFENSE,0.0,0.0,0.0,38.0,0.0,0.0,1.0,4.0,0.0,,,,,,,,,,,,,,,,,,
10.0,IND,DEFENSE,IND-DEFENSE,0.0,0.0,0.0,20.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,
10.0,PIT,DEFENSE,PIT-DEFENSE,0.0,0.0,0.0,17.0,0.0,0.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,
10.0,JAX,DEFENSE,JAX-DEFENSE,1.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
10.0,LAC,DEFENSE,LAC-DEFENSE,0.0,0.0,0.0,20.0,0.0,0.0,2.0,3.0,0.0,,,,,,,,,,,,,,,,,,
10.0,TB,DEFENSE,TB-DEFENSE,1.0,0.0,0.0,10.0,0.0,0.0,1.0,6.0,0.0,,,,,,,,,,,,,,,,,,
10.0,NYJ,DEFENSE,NYJ-DEFENSE,0.0,0.0,0.0,15.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,
10.0,TEN,DEFENSE,TEN-DEFENSE,2.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
10.0,CIN,DEFENSE,CIN-DEFENSE,0.0,0.0,0.0,24.0,0.0,0.0,1.0,4.0,0.0,,,,,,,,,,,,,,,,,,
10.0,WAS,DEFENSE,WAS-DEFENSE,0.0,0.0,0.0,38.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,
10.0,MIN,DEFENSE,MIN-DEFENSE,0.0,0.0,0.0,30.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,
10.0,LA,DEFENSE,LA-DEFENSE,2.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0,0.0,,,,,,,,,,,,,,,,,,
10.0,HOU,DEFENSE,HOU-DEFENSE,0.0,0.0,0.0,33.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,
10.0,ATL,DEFENSE,ATL-DEFENSE,2.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,,,,,,,,,,,,,,,,,,
10.0,DAL,DEFENSE,DAL-DEFENSE,0.0,0.0,0.0,27.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,
10.0,SF,DEFENSE,SF-DEFENSE,1.0,0.0,0.0,21.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,
10.0,NYG,DEFENSE,NYG-DEFENSE,1.0,0.0,0.0,31.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
10.0,DEN,DEFENSE,DEN-DEFENSE,0.0,0.0,0.0,41.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
10.0,NE,DEFENSE,NE-DEFENSE,1.0,0.0,0.0,16.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
10.0,CAR,DEFENSE,CAR-DEFENSE,0.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
10.0,MIA,DEFENSE,MIA-DEFENSE,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
10.0,ARI,K,P.Dawson,,,,,,,,,,0.0,43.0,1.0,,,,,,,,,,,,,,,
10.0,SEA,QB,R.Wilson,,,,,,,,,,0.0,,,238.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
10.0,ARI,CB,T.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
