week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,rushing_yds,rushing_tds,rushing_twoptm,receiving_tds,receiving_rec,receiving_yds,fumbles_lost,receiving_twoptm,passing_yds,passing_tds,passing_twoptm,passing_ints,defense_fgblk,defense_puntblk
11.0,PIT,DEFENSE,PIT-DEFENSE,0.0,0.0,0.0,17.0,0.0,0.0,4.0,5.0,0.0,,,,,,,,,,,,,,,,,
11.0,TEN,DEFENSE,TEN-DEFENSE,0.0,0.0,0.0,40.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,
11.0,CHI,DEFENSE,CHI-DEFENSE,1.0,0.0,0.0,27.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,
11.0,DET,DEFENSE,DET-DEFENSE,1.0,0.0,0.0,24.0,0.0,1.0,0.0,0.5,0.0,,,,,,,,,,,,,,,,,
11.0,CLE,DEFENSE,CLE-DEFENSE,1.0,0.0,0.0,19.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,
11.0,JAX,DEFENSE,JAX-DEFENSE,3.0,0.0,0.0,7.0,0.0,1.0,2.0,4.5,0.0,,,,,,,,,,,,,,,,,
11.0,GB,DEFENSE,GB-DEFENSE,0.0,0.0,0.0,23.0,0.0,0.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,
11.0,BAL,DEFENSE,BAL-DEFENSE,2.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,,,,,,,,,,,,,,,,,
11.0,HOU,DEFENSE,HOU-DEFENSE,0.0,0.0,0.0,21.0,0.0,0.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,
11.0,ARI,DEFENSE,ARI-DEFENSE,1.0,0.0,0.0,31.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,
11.0,MIN,DEFENSE,MIN-DEFENSE,1.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,
11.0,LA,DEFENSE,LA-DEFENSE,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
11.0,NO,DEFENSE,NO-DEFENSE,0.0,0.0,0.0,31.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,
11.0,WAS,DEFENSE,WAS-DEFENSE,0.0,0.0,0.0,34.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,
11.0,NYG,DEFENSE,NYG-DEFENSE,0.0,0.0,0.0,9.0,0.0,0.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,
11.0,KC,DEFENSE,KC-DEFENSE,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,
11.0,LAC,DEFENSE,LAC-DEFENSE,1.0,0.0,0.0,24.0,0.0,2.0,5.0,1.0,0.0,,,,,,,,,,,,,,,,,
11.0,BUF,DEFENSE,BUF-DEFENSE,0.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,
11.0,DEN,DEFENSE,DEN-DEFENSE,0.0,0.0,0.0,20.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,
11.0,CIN,DEFENSE,CIN-DEFENSE,1.0,0.0,0.0,17.0,0.0,0.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,
11.0,OAK,DEFENSE,OAK-DEFENSE,0.0,0.0,0.0,33.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,
11.0,NE,DEFENSE,NE-DEFENSE,1.0,0.0,0.0,8.0,0.0,0.0,1.0,0.5,0.0,,,,,,,,,,,,,,,,,
11.0,DAL,DEFENSE,DAL-DEFENSE,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
11.0,PHI,DEFENSE,PHI-DEFENSE,1.0,0.0,0.0,9.0,0.0,1.0,3.0,4.0,0.0,,,,,,,,,,,,,,,,,
11.0,MIA,DEFENSE,MIA-DEFENSE,0.0,0.0,0.0,30.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,
11.0,TB,DEFENSE,TB-DEFENSE,2.0,0.0,0.0,20.0,0.0,0.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,
11.0,SEA,DEFENSE,SEA-DEFENSE,1.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,
11.0,ATL,DEFENSE,ATL-DEFENSE,1.0,0.0,0.0,31.0,0.0,1.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,
11.0,TEN,K,R.Succop,,,,,,,,,,0.0,44.0,2.0,,,,,,,,,,,,,,
11.0,TEN,DEF,A.Jackson,,,,,,,,,,0.0,,,5.0,0.0,0.0,,,,,,,,,,,
11.0,PIT,WR,A.Brown,,,,,,,,,,0.0,,,,,,3.0,10.0,144.0,0.0,0.0,,,,,,
11.0,PIT,QB,B.Roethlisberger,,,,,,,,,,0.0,,,10.0,0.0,0.0,,,,,,307.0,4.0,0.0,0.0,,
11.0,TEN,SS,J.Cyprien,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,PIT,WR,J.Smith-Schuster,,,,,,,,,,0.0,,,,,,0.0,4.0,47.0,,0.0,,,,,,
11.0,TEN,CB,L.Sims,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,PIT,RB,L.Bell,,,,,,,,,,0.0,,,46.0,0.0,0.0,0.0,10.0,65.0,,0.0,,,,,,
11.0,PIT,K,C.Boswell,,,,,,,,,,0.0,145.0,4.0,,,,,,,,,,,,,,
11.0,TEN,QB,M.Mariota,,,,,,,,,,0.0,,,5.0,1.0,0.0,,,,,,306.0,1.0,0.0,4.0,,
11.0,TEN,RB,D.Murray,,,,,,,,,,0.0,,,10.0,0.0,0.0,0.0,5.0,37.0,,0.0,,,,,,
11.0,PIT,DB,C.Sensabaugh,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,PIT,ILB,V.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,TEN,OT,J.Conklin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,TEN,WR,R.Matthews,,,,,,,,,,0.0,,,,,,1.0,5.0,113.0,,0.0,,,,,,
11.0,PIT,DEF,M.Hilton,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,TEN,ILB,A.Williamson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,TEN,DE,J.Casey,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,PIT,TE,J.James,,,,,,,,,,0.0,,,,,,1.0,5.0,21.0,,0.0,,,,,,
11.0,TEN,SAF,K.Byard,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,PIT,T,M.Gilbert,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,PIT,OLB,B.Dupree,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,PIT,ILB,R.Shazier,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,PIT,CB,A.Burns,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,PIT,SS,R.Golden,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,TEN,RB,D.Henry,,,,,,,,,,0.0,,,32.0,0.0,0.0,,,,,,,,,,,
11.0,PIT,DE,C.Heyward,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,PIT,DT,L.Walton,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,PIT,DEF,T.Watt,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,
11.0,TEN,WR,C.Davis,,,,,,,,,,0.0,,,,,,0.0,3.0,27.0,,0.0,,,,,,
11.0,TEN,WR,E.Decker,,,,,,,,,,0.0,,,,,,0.0,3.0,37.0,,0.0,0.0,0.0,0.0,0.0,,
11.0,PIT,WR,T.Watson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,TEN,LB,D.Bates,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,TEN,WR,E.Weems,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,TEN,NT,A.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,PIT,RB,J.Conner,,,,,,,,,,0.0,,,12.0,0.0,0.0,,,,,,,,,,,
11.0,TEN,OLB,B.Orakpo,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,PIT,P,J.Berry,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,TEN,TE,D.Walker,,,,,,,,,,0.0,,,,,,0.0,6.0,92.0,,0.0,,,,,,
11.0,PIT,DE,S.Tuitt,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,PIT,DT,J.Hargrave,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,PIT,CB,S.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,TEN,DEF,J.Brown,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,TEN,OLB,D.Morgan,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,TEN,WR,J.Smith,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,TEN,DEF,T.Taylor,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
