week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,passing_yds,passing_twoptm,passing_ints,passing_tds,receiving_rec,receiving_yds,receiving_tds,receiving_twoptm,rushing_yds,rushing_tds,rushing_twoptm,fumbles_lost,kicking_xpmade,kicking_fgm_yds,defense_fgblk,defense_xpblk,defense_puntblk,fumbles_rec_tds
15.0,IND,DEFENSE,IND-DEFENSE,0.0,0.0,0.0,25.0,0.0,0.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,
15.0,DEN,DEFENSE,DEN-DEFENSE,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
15.0,DET,DEFENSE,DET-DEFENSE,0.0,0.0,0.0,10.0,0.0,0.0,3.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
15.0,CHI,DEFENSE,CHI-DEFENSE,1.0,0.0,0.0,20.0,0.0,0.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,
15.0,KC,DEFENSE,KC-DEFENSE,1.0,0.0,0.0,13.0,0.0,0.0,3.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
15.0,LAC,DEFENSE,LAC-DEFENSE,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
15.0,BUF,DEFENSE,BUF-DEFENSE,0.0,0.0,0.0,16.0,0.0,0.0,3.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
15.0,MIA,DEFENSE,MIA-DEFENSE,0.0,0.0,0.0,24.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
15.0,CAR,DEFENSE,CAR-DEFENSE,1.0,0.0,0.0,24.0,0.0,0.0,3.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
15.0,GB,DEFENSE,GB-DEFENSE,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
15.0,CLE,DEFENSE,CLE-DEFENSE,0.0,0.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
15.0,BAL,DEFENSE,BAL-DEFENSE,2.0,0.0,0.0,10.0,0.0,1.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
15.0,JAX,DEFENSE,JAX-DEFENSE,0.0,0.0,0.0,7.0,0.0,0.0,1.0,4.0,0.0,,,,,,,,,,,,,,,,,,,
15.0,HOU,DEFENSE,HOU-DEFENSE,0.0,0.0,0.0,45.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
15.0,MIN,DEFENSE,MIN-DEFENSE,0.0,0.0,0.0,7.0,0.0,1.0,2.0,3.0,0.0,,,,,,,,,,,,,,,,,,,
15.0,CIN,DEFENSE,CIN-DEFENSE,0.0,0.0,0.0,34.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
15.0,NO,DEFENSE,NO-DEFENSE,0.0,0.0,0.0,19.0,0.0,0.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
15.0,NYJ,DEFENSE,NYJ-DEFENSE,2.0,0.0,0.0,31.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
15.0,NYG,DEFENSE,NYG-DEFENSE,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
